광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
서울, 강서구,,남자,268057,32571,11542,12089,22476,23753,26320,21659,22484,19765,20642,19437,13492,10369,6536,3233,1689
서울, 강서구,,여자,291302,31035,11598,16837,26423,24145,24995,21504,22734,21737,23719,22714,15220,11198,7959,5427,4057
서울, 구로구,,계,386239,43566,15109,20016,30167,29301,33404,29549,31947,30019,31661,29785,21824,17182,12254,6845,3610
서울, 구로구,,남자,188979,22261,7613,8700,14698,14677,17105,15277,16276,14682,15277,14016,10275,8351,5724,2906,1141
서울, 구로구,,여자,197260,21305,7496,11316,15469,14624,16299,14272,15671,15337,16384,15769,11549,8831,6530,3939,2469
서울, 금천구,,계,219896,20011,8027,12414,20503,17367,17197,14700,17739,19056,20446,17745,12362,9515,7077,3731,2006
서울, 금천구,,남자,110152,10212,4001,5512,10686,9548,9404,7753,9012,9310,10154,8692,5934,4469,3251,1557,657
서울, 금천구,,여자,109744,9799,4026,6902,9817,7819,7793,6947,8727,9746,10292,9053,6428,5046,3826,2174,1349
서울, 영등포구,,계,341509,34897,11839,17499,32711,32163,30945,24877,26781,25838,26874,24630,17330,14036,10758,6597,3734
서울, 영등포구,,남자,167114,17957,6082,7184,15435,16332,16080,12770,13634,12790,13169,11949,8202,6684,4786,2829,1231
서울, 영등포구,,여자,174395,16940,5757,10315,17276,15831,14865,12107,13147,13048,13705,12681,9128,7352,5972,3768,2503
서울, 동작구,,계,374478,38047,14736,25435,36622,30532,30951,27225,29534,27810,28842,26489,19086,15813,12107,7062,4187
서울, 동작구,,남자,180291,19447,7403,11003,18319,15329,15653,13726,14758,13169,13646,12190,8721,6950,5666,2943,1368
서울, 동작구,,여자,194187,18600,7333,14432,18303,15203,15298,13499,14776,14641,15196,14299,10365,8863,6441,4119,2819
서울, 관악구,,계,472796,36787,15748,35750,64784,46371,39100,31523,34549,32445,33664,31412,23866,19784,15039,7942,4032
서울, 관악구,,남자,234870,18959,7962,14687,33267,25458,21216,16865,18182,15929,16093,14531,10985,9016,6955,3445,1320
서울, 관악구,,여자,237926,17828,7786,21063,31517,20913,17884,14658,16367,16516,17571,16881,12881,10768,8084,4497,2712
서울, 서초구,,계,391520,53479,20517,19297,27310,28215,33211,33647,38651,31352,27756,25645,18361,14875,9944,5563,3697
서울, 서초구,,남자,185921,27471,10257,8221,12740,12974,15381,15594,18644,15508,13252,11811,8442,6923,4906,2549,1248
서울, 서초구,,여자,205599,26008,10260,11076,14570,15241,17830,18053,20007,15844,14504,13834,9919,7952,5038,3014,2449
서울, 강남구,,계,493492,60595,27512,25476,37117,36823,41510,41908,49399,41140,34711,31588,23226,18695,12288,6737,4767
서울, 강남구,,남자,234001,31477,14235,10908,17165,16979,18944,19046,23490,20503,16841,14448,10584,8844,6033,3028,1476
서울, 강남구,,여자,259491,29118,13277,14568,19952,19844,22566,22862,25909,20637,17870,17140,12642,9851,6255,3709,3291
서울, 송파구,,계,629275,78163,29213,32591,49836,51308,56587,49487,54007,50488,49841,45792,31423,22284,14421,8145,5689
서울, 송파구,,남자,301491,40273,14723,14039,23366,24447,27272,23890,26003,24296,23486,21518,15214,10971,6938,3367,1688
서울, 송파구,,여자,327784,37890,14490,18552,26470,26861,29315,25597,28004,26192,26355,24274,16209,11313,7483,4778,4001
서울, 강동구,,계,403443,46785,18542,20975,30235,29068,34034,30872,34028,32577,34693,32501,22239,16325,10683,5924,3962
서울, 강동구,,남자,196902,24478,9536,9477,14947,14527,17046,15388,16847,15710,16457,15250,10724,7985,5104,2349,1077
서울, 강동구,,여자,206541,22307,9006,11498,15288,14541,16988,15484,17181,16867,18236,17251,11515,8340,5579,3575,2885
부산,소계,,계,3222121,361732,138437,181186,213061,183698,235287,227042,265187,267800,291826,281402,203549,153324,117606,66519,34465
부산,소계,,남자,1565704,185909,70460,85793,111372,93666,119264,114588,131150,128473,138281,132629,95898,70577,51297,25798,10549
부산,소계,,여자,1656417,175823,67977,95393,101689,90032,116023,112454,134037,139327,153545,148773,107651,82747,66309,40721,23916
부산, 중구,,계,38566,2290,1218,2052,2863,2117,2257,2293,3007,3185,3670,4047,3111,2524,2087,1175,670
