,제목,저자,번역,출간일,페이지,ISBN,정가,판가,마일리지
286,"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설, ,2013-07-02,604,9788998756376,29000,29000,870
287,"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영, ,2013-07-02,536,9788998756420,24800,24800,744
288,"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈, 김종진", ,2013-07-02,384,9788998756437,20000,20000,600
289,"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창, 남송휘", ,2013-07-01,576,9788998756246,27000,27000,810
290,"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정, 김태은", ,2013-06-19,676,9788998756215,25000,25000,750
291,"IT CookBook, 반도체 공학 연습문제 풀이집",김동명, ,2013-05-31,336,9788998756239,22000,22000,660
292,"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석", ,2013-03-20,652,9788998756161,24000,24000,720
293,"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영, 정영준", ,2013-03-20,496,9788998756154,21000,21000,630
294,"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희, ,2013-03-12,152,9788998756109,10000,10000,300
295,"IT CookBook, 개념이 보이는 물리전자공학",이현용, ,2013-02-28,416,9788998756031,24000,24000,720
296,문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우, ,2013-02-28,396,9788998756024,18000,18000,540
297,"진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서","서일수, 김도균, 김지혜, 이정배", ,2013-02-28,392,9788998756048,20000,20000,600
298,Essential Calculus,James Stewart, ,2012-07-08,960,9781133492566,36000,36000,1080
299,"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영, 임승각", ,2011-01-31,576,9788979147988,25000,25000,750
300,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔, 폴 디텔, 데이빗 쇼픈스",송경희,2009-09-04,860,9788979146844,32000,32000,960
