,Rank,Cafe,Menu,Price,Address,Telephone,Home Page
0,1,Old Oak Tap,BLT,$10,2109 W. Chicago Ave.,773-772-0406, theoldoaktap.com
1,2,Au Cheval,Fried Bologna,$9,800 W. Randolph St.,312-929-4580, aucheval.tumblr.com
2,3,Xoco,Woodland Mushroom,$9.50,445 N. Clark St.,312-334-3688, rickbayless.com
3,4,Al’s Deli,Roast Beef,$9.40,"914 Noyes St.,  Evanston",847-475-9400, alsdeli.net
4,5,Publican Quality Meats,PB&L,$10,825 W. Fulton Mkt.,312-445-8977, publicanqualitymeats.com
5,6,Hendrickx Belgian Bread Crafter,Belgian Chicken Curry Salad,$7.25,100 E. Walton St.,312-649-6717, 
6,7,Acadia,Lobster Roll,$16,1639 S. Wabash Ave.,312-360-9500, acadiachicago.com
7,8,Birchwood Kitchen,Smoked Salmon Salad,$10,2211 W. North Ave.,773-276-2100, birchwoodkitchen.com
8,9,Cemitas Puebla,Atomica Cemitas,$9,3619 W. North Ave.,773-772-8435, cemitaspuebla.com
9,10,Nana,Grilled Laughing Bird Shrimp and Fried Po’ Boy,$17,3267 S. Halsted St.,312-929-2486, nanaorganic.com
10,11,Lula Cafe,Ham and Raclette Panino,$11,2537 N. Kedzie Blvd.,773-489-9554, lulacafe.com
11,12,Ricobene’s,Breaded Steak,$5.49, , , ricobenespizza.com
12,13,Frog n Snail,The Hawkeye,$14,3124 N. Broadway,773-661-9166, frognsnail.com
13,14,Crosby’s Kitchen,Chicken Dip,$10,3455 N. Southport Ave.,773-883-2525, crosbyskitchenchicago.com
14,15,Longman & Eagle,Wild Boar Sloppy Joe,$13,2657 N. Kedzie Ave.,773-276-7110, longmanandeagle.com
15,16,Bari,Meatball Sub,$4.50,1120 W. Grand Ave.,312-666-0730, bariitaliansubs.com
16,17,Manny’s,Corned Beef,$11.95,1141 S. Jefferson St.,312-939-2855, mannysdeli.com
17,18,Eggy’s,Turkey Club,$11.50,333 E. Benton Pl.,773-234-3449, eggysdiner.com
18,19,Old Jerusalem,Falafel,$6.25,1411 N. Wells St.,312-944-0459, oldjerusalemchicago.com
19,20,Mindy’s HotChocolate,Crab Cake,$15,1747 N. Damen Ave.,773-489-1747, hotchocolatechicago.com
20,21,Olga’s Delicatessen,Chicken Schnitzel,$5,3209 W. Irving Park Rd.,773-539-8038, 
21,22,Dawali Mediterranean Kitchen,Shawarma,$6, , , dawalikitchen.com
22,23,Big Jones,Toasted Pimiento Cheese,$8,5347 N. Clark St.,773-275-5725, bigjoneschicago.com
23,24,La Pane,Vegetarian Panino,$5.99,2954 W. Irving Park Rd.,773-539-5321, lapanechicago.com
24,25,Pastoral,Cali Chèvre,$7.52, , , pastoralartisan.com
25,26,Max’s Deli,Pastrami,$11.95,"191 Skokie Valley Rd.,  Highland Park",847-831-0600, maxs-deli.com
26,27,Lucky’s Sandwich Co.,The Fredo,$7.50, , , luckysandwich.com
27,28,City Provisions,Smoked Ham,$12.95,1818 W. Wilson Ave.,773-293-2489, cityprovisions.com
28,29,Papa’s Cache Sabroso,Jibarito,$7,2517 W. Division St.,773-862-8313, papascachesabroso.com
29,30,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,218 W. Kinzie St.,312-624-8154, 
30,31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79, , , hannahsbretzel.com
31,32,La Fournette,Tuna Salad,$9.75,1547 N. Wells St.,312-624-9430, lafournette.com
32,33,Paramount Room,Paramount Reuben,$13,415 N. Milwaukee Ave.,312-829-6300, paramountroom.com
33,34,Melt Sandwich Shoppe,The Istanbul,$7.95,1840 N. Damen Ave.,773-681-9914, meltsandwichshoppechicago.com
34,35,Floriole Cafe & Bakery,B.A.D.,$9,1220 W. Webster Ave.,773-883-1313, floriole.com
35,36,First Slice Pie Café,Duck Confit and Mozzarella,$9,5357 N. Ashland Ave.,773-275-4297, firstslice.org
36,37,Troquet,Croque Monsieur,$8,1834 W. Montrose Ave.,773-334-5664, troquetchicago.com
37,38,Grahamwich,Green Garbanzo,$8,615 N. State St.,312-265-0434, grahamwich.com
38,39,Saigon Sisters,The Hen House,$7, , , saigonsisters.com
39,40,Rosalia’s Deli,Tuscan Chicken,$6,"241 N. York Rd.,  Elmhurst",630-516-3354, rosaliasdeli.com
40,41,Z&H MarketCafe,The Marty ,$7.25,1323 E. 57th St.,773-538-7372, zhmarketcafe.com
41,42,Market House on the Square,Whitefish,$11,"655 Forest Ave.,  Lake Forest",847-234-8800, themarkethouse.com
42,43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,"Hotel Lincoln,  1816 N. Clark St.",312-254-4665, jdvhotels.com/hotels/chicago/lincoln
43,44,Marion Street Cheese Market,Cauliflower Melt,$9,"100 S. Marion St.,  Oak Park",708-725-7200, marionstreetcheesemarket.com
44,45,Cafecito,Cubana,$5.49,26 E. Congress Pkwy.,312-922-2233, cafecitochicago.com
45,46,Chickpea,Kufta,$8,2018 W. Chicago Ave.,773-384-9930, chickpeaonthego.com
46,47,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,25 E. Delaware Pl.,312-896-2600, goddessandgrocer.com
47,48,Zenwich,Beef Curry,$7.50,"416 N. York St.,  Elmhurst",630-359-5234, eatmyzenwich.com
48,49,Toni Patisserie,Le Végétarien,$8.75,65 E. Washington St.,312-726-2020, tonipatisserie.com
49,50,Phoebe’s Bakery,The Gatsby,$6.85,3351 N. Broadway,773-868-4000, phoebesbakery.com
