광역시도,시군구,20~39세계,20~39세남자,20~39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역
부산,서구,23642,11740,11902,23618,10079,13539,100101,48104,51997,1.0078753493098485,False
부산,수영구,44258,21608,22650,33380,14781,18599,164784,77880,86904,1.3571000599161174,False
부산,연제구,50757,24952,25805,35307,15782,19525,197985,94732,103253,1.4617497946582831,False
부산,영도구,22954,12337,10617,27636,11825,15811,109458,53656,55802,0.7683456361267912,True
부산,중구,9289,4831,4458,9567,4061,5506,38566,18759,19807,0.9319535904672311,True
부산,해운대구,88245,43106,45139,61986,27104,34882,379986,181834,198152,1.4564256445003712,False
서울,강남구,140926,63996,76930,65713,29965,35748,493492,234001,259491,2.3413936359624428,False
서울,강동구,114312,55997,58315,59133,27239,31894,403443,196902,206541,1.9723335531767372,False
서울,강북구,78369,38730,39639,56516,24425,32091,294143,141759,152384,1.4027532026328828,False
서울,강서구,177038,84638,92400,79180,35319,43861,559359,268057,291302,2.3339227077544833,False
서울,관악구,186005,94628,91377,70663,31721,38942,472796,234870,237926,2.586275702984589,False
서울,광진구,113351,53872,59479,44612,20123,24489,331747,159187,172560,2.666502286380346,False
서울,구로구,112888,55180,57708,61715,28397,33318,386239,188979,197260,1.8701450214696589,False
서울,금천구,67481,35150,32331,34691,15868,18823,219896,110152,109744,1.8639416563373785,False
서울,노원구,131084,64427,66657,76136,32338,43798,504967,241951,263016,1.7509982137228117,False
서울,도봉구,81619,40253,41366,55474,25064,30410,315032,152106,162926,1.4913653242960667,False
서울,동대문구,103780,51942,51838,54777,24324,30453,327897,160582,167315,1.8926921883272176,False
서울,동작구,123540,60304,63236,58255,25648,32607,374478,180291,194187,2.1710067805338595,False
서울,마포구,118571,54071,64500,47926,20279,27647,348755,163126,185629,2.6916496265075325,False
서울,서대문구,90833,42863,47970,47748,20369,27379,291958,137971,153987,2.009298818798693,False
서울,서초구,108033,49316,58717,52440,24068,28372,391520,185921,205599,2.239397406559878,False
서울,성동구,91871,44558,47313,40757,17886,22871,283330,137125,146205,2.3217116078219693,False
서울,성북구,123727,59148,64579,65389,28490,36899,418403,200642,217761,1.975225190781324,False
서울,송파구,190322,89124,101198,81962,38178,43784,629275,301491,327784,2.469388253092897,False
서울,양천구,108836,52694,56142,57720,26110,31610,429819,208741,221078,1.9453222453222454,False
서울,영등포구,113318,55031,58287,52455,23732,28723,341509,167114,174395,2.222362024592508,False
서울,용산구,64265,30377,33888,32923,14128,18795,204196,97390,106806,2.0586216322935336,False
서울,은평구,124564,59492,65072,74710,32511,42199,447693,213158,234535,1.741989024227011,False
서울,종로구,40758,19801,20957,23700,10452,13248,136649,65594,71055,1.7685232067510548,False
서울,중구,37325,17998,19327,19765,8614,11151,115665,55820,59845,1.955679230963825,False
서울,중랑구,108476,53892,54584,61294,27655,33639,374640,183357,191283,1.781055241948641,False
세종,세종시,93067,45339,47728,29227,12797,16430,321495,159457,162038,3.2660211448318335,False
울산,남구,82578,43837,38741,34419,16055,18364,307294,155232,152062,2.251140358522909,False
울산,동구,39771,21279,18492,17097,8341,8756,151207,77870,73337,2.1631865239515706,False
울산,북구,57905,29875,28030,15219,6827,8392,205269,104664,100605,3.683553452920691,False
울산,울주군,48404,25766,22638,27838,12364,15474,207367,105698,101669,1.626409943243049,False
울산,중구,52459,27580,24879,29334,13355,15979,212450,106869,105581,1.6962569032521988,False
인천,강화군,9079,4814,4265,19402,8937,10465,60622,30141,30481,0.4396453973817132,True
