상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,광교월드스퀘어점,경기도 수원시 영통구 센트럴타운로 107,127.048361864893,37.2919087095505,경기도,영통구,영통,빽다방,1
빽다방,,경기도 용인시 기흥구 관곡로64번길 18,127.112482093159,37.2811251998346,경기도,기흥구,기흥,빽다방,1
빽다방,구리인창늘푸른점,경기도 구리시 건원대로34번길 35,127.142186788823,37.6046935027976,경기도,구리시,구리,빽다방,1
빽다방,,경기도 안산시 단원구 광덕대로 145,126.828975255345,37.3094946491179,경기도,단원구,단원,빽다방,1
빽다방,산본중앙점,경기도 군포시 산본로343번길 23,126.930352783622,37.359860223831504,경기도,군포시,군포,빽다방,1
빽다방,남양주장현점,경기도 남양주시 진접읍 장현로 77,127.18086950741801,37.7176073931042,경기도,남양주시,남양주,빽다방,1
빽다방역점,,경기도 성남시 중원구 산성대로 354,127.155654663191,37.443915449348296,경기도,중원구,중원,빽다방,1
빽다방김포한강CGV점,김포한강CGV점,경기도 김포시 김포한강11로 288-32,126.684155535897,37.6542925703564,경기도,김포시,김포,빽다방,1
빽다방,모란역점,경기도 성남시 중원구 성남대로 1141,127.128695870766,37.4317085116434,경기도,중원구,중원,빽다방,1
빽다방,수내역초림점,경기도 성남시 분당구 백현로101번길 17,127.11249978605801,37.3774694629586,경기도,분당구,분당,빽다방,1
빽다방,평촌역금강점,경기도 안양시 동안구 시민대로 325,126.966124983447,37.396112925630604,경기도,동안구,동안,빽다방,1
빽다방,상동역푸른마을점,경기도 부천시 상동로 84,126.753472678946,37.50450282783721,경기도,부천시,부천,빽다방,1
빽다방김포장기쌍용점,김포장기쌍용점,경기도 김포시 김포한강2로23번길 14,126.678804609813,37.642249394750294,경기도,김포시,김포,빽다방,1
빽다방,일산동구청점,경기도 고양시 일산동구 정발산로 38,126.77311114669901,37.6567020093843,경기도,일산동구,일산동,빽다방,1
빽다방,부천원종중앙점,경기도 부천시 소사로 747,126.804401575335,37.52294190210979,경기도,부천시,부천,빽다방,1
빽다방,오산시청점,경기도 오산시 운암로 35,127.076040794316,37.149501919860896,경기도,오산시,오산,빽다방,1
빽다방,안산본오주공점,경기도 안산시 상록구 샘골로 189,126.863006479639,37.3006986723234,경기도,상록구,상록,빽다방,1
빽다방,안양1번가점,경기도 안양시 만안구 장내로139번길 35,126.92187818498002,37.399087736373204,경기도,만안구,만안,빽다방,1
빽다방,동서울대점,경기도 성남시 수정구 복정로72번길 4,127.126829102122,37.4591413184632,경기도,수정구,수정,빽다방,1
빽다방,정자카페점,경기도 성남시 분당구 정자일로 230,127.106487401127,37.3703146775872,경기도,분당구,분당,빽다방,1
빽다방,산본역점,경기도 군포시 산본로323번길 16-5,126.931945344424,37.3590005783845,경기도,군포시,군포,빽다방,1
빽다방,광명철산점,경기도 광명시 오리로856번길 25,126.869539891401,37.4757560182011,경기도,광명시,광명,빽다방,1
빽다방,평택소사벌1호점,경기도 평택시 평남로 929,127.105211753323,37.0037257155279,경기도,평택시,평택,빽다방,1
빽다방,경기광주이마트점,경기도 광주시 광주대로 30,127.26120641738399,37.4096334060733,경기도,광주시,광주,빽다방,1
빽다방,수원삼성전자정문점,경기도 수원시 영통구 삼성로 172-4,127.057396914835,37.258361320666204,경기도,영통구,영통,빽다방,1
빽다방,광교상현신명점,경기도 용인시 수지구 광교중앙로 310,127.069731159849,37.297665341683896,경기도,수지구,수지,빽다방,1
빽다방화성삼성점,화성삼성점,경기도 화성시 효행로 1289,127.061650239356,37.223549726787894,경기도,화성시,화성,빽다방,1
빽다방,안산원곡보성점,경기도 안산시 단원구 원초로 30,126.80169176186399,37.3283871388674,경기도,단원구,단원,빽다방,1
