,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x
67,경남,밀양시,16579,7788,26056,96207,46631,49576,0.5977893767270495,True,밀양,17,8
68,경남,사천시,20869,9440,21648,103059,51358,51701,0.8721359940872137,True,사천,21,6
69,경남,산청군,3993,1858,11163,31311,15203,16108,0.33288542506494667,True,산청,19,5
70,경남,성산구,56762,27247,15873,207933,104555,103378,3.4331254331254333,False,창원 성산,20,7
71,경남,양산시,85945,42376,41056,329721,163340,166381,2.064302416212003,False,양산,19,7
72,경남,의령군,3323,1579,8713,23911,11453,12458,0.3624469183977964,True,의령,18,7
73,경남,의창구,65290,30864,28161,242721,122271,120450,2.1919676147864067,False,창원 의창,20,6
74,경남,진주시,81837,39596,52845,332208,163346,168862,1.4985712934052418,False,진주,18,6
75,경남,진해구,45710,21823,24374,183583,92993,90590,1.7906785919422334,False,창원 진해,20,8
76,경남,창녕군,9435,4282,16795,56181,27648,28533,0.5099136647811848,True,창녕,17,7
77,경남,통영시,24459,11797,22350,122162,60826,61336,1.0556599552572707,False,통영,21,8
78,경남,하동군,5499,2433,13811,40744,19901,20843,0.3523278546086453,True,하동,20,5
79,경남,함안군,10996,5216,13955,60079,29988,30091,0.747545682551057,True,함안,19,6
80,경남,함양군,4844,2274,11805,35496,16980,18516,0.3852604828462516,True,함양,17,6
81,경남,합천군,5071,2298,15547,40085,19085,21000,0.29561973371068373,True,합천,16,7
82,경북,경산시,70122,32956,39828,255939,127793,128146,1.6549161393994174,False,경산,12,11
83,경북,경주시,51111,23620,50746,239382,119114,120268,0.9309108107042919,True,경주,12,12
84,경북,고령군,4501,2074,8819,29019,14552,14467,0.4703481120308425,True,고령,13,9
85,경북,구미시,116063,54585,35323,396338,201545,194793,3.090620841944342,False,구미,10,10
86,경북,군위군,2621,1141,8360,20861,10491,10370,0.27296650717703347,True,군위,11,10
87,경북,김천시,27713,13073,29105,129665,63978,65687,0.8983336196529806,True,김천,11,9
88,경북,남구,49270,22812,35726,221143,112611,108532,1.2770531265744836,False,포항 남구,11,12
89,경북,문경시,10167,4766,19266,64832,31547,33285,0.49475760406934494,True,문경,8,10
90,경북,봉화군,3568,1684,10308,28857,14309,14548,0.32673651532790066,True,봉화,8,11
91,경북,북구,56621,27263,41106,254864,125439,129425,1.3264730209701747,False,포항 북구,10,12
