상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,커피빈 매장수
커피빈,현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로152번길 100,126.785052214643,37.597097179989206,경기도,김포시,김포,커피빈,1
커피빈판교알파돔시티점,판교알파돔시티점,경기도 성남시 분당구 판교역로 145,127.10832367334,37.394495445351204,경기도,분당구,분당,커피빈,1
커피빈,코리아마두역점,경기도 고양시 일산동구 중앙로 1193,126.776604493867,37.65308018351129,경기도,일산동구,일산동,커피빈,1
커피빈,코리아분당정자점,경기도 성남시 분당구 내정로 54,127.116137334481,37.3638453394592,경기도,분당구,분당,커피빈,1
커피빈코리아수원망포역점,코리아수원망포역점,경기도 수원시 영통구 영통로214번길 8,127.057559372479,37.2462248784169,경기도,영통구,영통,커피빈,1
커피빈범계역로데오점,범계역로데오점,경기도 안양시 동안구 평촌대로223번길 41,126.953497708509,37.3904783109627,경기도,동안구,동안,커피빈,1
커피빈,중동현대백화점U-PLEX점,경기도 부천시 길주로 172,126.760836134179,37.504463173161895,경기도,부천시,부천,커피빈,1
더커피빈,,경기도 성남시 분당구 황새울로 326,127.121849966435,37.38512634443521,경기도,분당구,분당,커피빈,1
커피빈코리아산본역점,코리아산본역점,경기도 군포시 광정로 58,126.93097041798401,37.35849618324129,경기도,군포시,군포,커피빈,1
커피빈,코리아강남대점,경기도 용인시 기흥구 강남로 3,127.126131428473,37.2709903107511,경기도,기흥구,기흥,커피빈,1
더커피빈,,경기도 성남시 분당구 분당로53번길 11,127.121534919454,37.3840607319983,경기도,분당구,분당,커피빈,1
커피빈코리아평촌점,코리아평촌점,경기도 안양시 동안구 시민대로327번길 6,126.96695345846202,37.396642784933206,경기도,동안구,동안,커피빈,1
커피빈분당정자점,분당정자점,경기도 성남시 분당구 정자일로 227,127.105590853668,37.370704376104605,경기도,분당구,분당,커피빈,1
커피빈동탄영천성산타워점,동탄영천성산타워점,경기도 화성시 동탄순환대로 704,127.110729773277,37.207636457182005,경기도,화성시,화성,커피빈,1
커피빈,,경기도 이천시 중리천로 96-23,127.447573289736,37.2768554793855,경기도,이천시,이천,커피빈,1
커피빈코리아화정중앙공원점,코리아화정중앙공원점,경기도 고양시 덕양구 화신로260번길 26,126.832977996029,37.6317296001356,경기도,덕양구,덕양,커피빈,1
커피빈,코리아안양1번가점,경기도 안양시 만안구 안양로304번길 12,126.921883024375,37.3995383115151,경기도,만안구,만안,커피빈,1
커피빈코리아평택소사점,코리아평택소사점,경기도 평택시 평남로 862,127.111485497125,37.0004656799329,경기도,평택시,평택,커피빈,1
커피빈,코리아성남신흥점,경기도 성남시 수정구 수정로 190,127.14095741033199,37.4434220812105,경기도,수정구,수정,커피빈,1
커피빈코리아파주운정홈플러스점,코리아파주운정홈플러스점,경기도 파주시 청암로17번길 17,126.736720328428,37.729569444036706,경기도,파주시,파주,커피빈,1
커피빈코리아수원송죽DT점,코리아수원송죽DT점,경기도 수원시 장안구 경수대로 989,127.002916902617,37.3050688675503,경기도,장안구,장안,커피빈,1
커피빈코리아서수원이마트점,코리아서수원이마트점,경기도 수원시 권선구 수인로 291,126.970137925629,37.2826215528165,경기도,권선구,권선,커피빈,1
커피빈코리아성균관대자연과학캠퍼스점,코리아성균관대자연과학캠퍼스점,경기도 수원시 장안구 서부로 2066,126.974151781931,37.2959653937588,경기도,장안구,장안,커피빈,1
커피빈,수지동천점,경기도 용인시 수지구 손곡로 95,127.091795166346,37.3359616843276,경기도,수지구,수지,커피빈,1
커피빈,코리아수원인계DT점,경기도 수원시 팔달구 인계로 79,127.026450891624,37.2689239866241,경기도,팔달구,팔달,커피빈,1
커피빈,코리아동탄능동DT점,경기도 화성시 동탄지성로 177,127.05631931086599,37.2109730829945,경기도,화성시,화성,커피빈,1
커피빈,부천상동점,경기도 부천시 길주로 111,126.754867560809,37.5063196050671,경기도,부천시,부천,커피빈,1
커피빈,하남신세계백화점B1점,경기도 하남시 미사대로 750,127.22372317625299,37.5454278745332,경기도,하남시,하남,커피빈,1
커피빈,,경기도 부천시 부천로 4,126.783475258916,37.48446123019271,경기도,부천시,부천,커피빈,1
엔에스커피빈,경희대점,경기도 수원시 영통구 매영로425번길 2,127.07816566317,37.24884708282279,경기도,영통구,영통,커피빈,1
커피빈,CAFFE,경기도 이천시 부발읍 경충대로1804번길 15,127.515017704408,37.238132607863896,경기도,이천시,이천,커피빈,1
커피빈푸드,,경기도 성남시 중원구 사기막골로 177,127.178036453025,37.444460681745205,경기도,중원구,중원,커피빈,1
커피빈나무,,경기도 시흥시 공단1대로 244,126.72843512635299,37.335317502828204,경기도,시흥시,시흥,커피빈,1
커피빈,남양주화도DT점,경기도 남양주시 화도읍 경춘로 1641,127.27366033845,37.654079414779204,경기도,남양주시,남양주,커피빈,1
커피빈이,,경기도 여주시 강천면 강문로 368-5,127.695129305362,37.2841948302705,경기도,여주시,여주,커피빈,1
커피빈,부천북부역사거리점,경기도 부천시 부천로 25,126.782806361992,37.4866618829637,경기도,부천시,부천,커피빈,1
커피빈,코리아일산동구청점,경기도 고양시 일산동구 정발산로 38,126.77311114669901,37.6567020093843,경기도,일산동구,일산동,커피빈,1
커피빈,김포장기DT점,경기도 김포시 태장로 819,126.677592227616,37.6364964033004,경기도,김포시,김포,커피빈,1
커피빈,,경상남도 창원시 성산구 원이대로 774,128.68872484085801,35.216851428460295,경상남도,성산구,성산,커피빈,1
커피빈,,경상남도 창원시 성산구 동산로 192-1,128.695642517751,35.2243026194146,경상남도,성산구,성산,커피빈,1
커피빈앤산,,경상남도 통영시 사량면 진촌1길 30,128.223141606697,34.8445433855279,경상남도,통영시,통영,커피빈,1
커피빈,,경상남도 창원시 성산구 상남로 73,128.67989232265498,35.2206512324074,경상남도,성산구,성산,커피빈,1
커피빈,,경상남도 창원시 마산합포구 동서남1길 25,128.56986653228398,35.2013517892206,경상남도,마산합포구,마산합포,커피빈,1
커피빈,코리아창원상남동점,경상남도 창원시 성산구 중앙대로 104,128.68081741127,35.223566613347394,경상남도,성산구,성산,커피빈,1
커피빈창원시티세븐점,창원시티세븐점,경상남도 창원시 의창구 원이대로 332,128.65528275005101,35.2392929604693,경상남도,의창구,의창,커피빈,1
커피빈함안휴게소부산방면,함안휴게소부산방면,경상남도 함안군 군북면 현포로 205,128.34809010783502,35.293470693656396,경상남도,함안군,함안,커피빈,1
커피빈함안휴게소순천방면,함안휴게소순천방면,경상남도 함안군 군북면 현포로 205-1,128.343858579012,35.2938073072085,경상남도,함안군,함안,커피빈,1
커피빈,진주LH본사점,경상남도 진주시 충의로 19,128.145856034763,35.1783380588902,경상남도,진주시,진주,커피빈,1
커피빈,,경상남도 창원시 진해구 안청남로 40,128.806784939412,35.1004347860937,경상남도,진해구,진해,커피빈,1
커피빈,파머스마켓점,경상북도 구미시 산업로 310,128.353744621874,36.1222153410592,경상북도,구미시,구미,커피빈,1
커피빈,,경상북도 상주시 냉림서성길 32,128.161067328788,36.419788864695,경상북도,상주시,상주,커피빈,1
커피빈,코리아경주미탐시티점,경상북도 경주시 엑스포로 80,129.28987714387,35.8345764593531,경상북도,경주시,경주,커피빈,1
커피빈,코리아포항영일대점,경상북도 포항시 북구 삼호로265번길 1,129.37970607116,36.061593347160795,경상북도,북구,북,커피빈,1
